id; name; canonical_name;code;
112; 'KOREA; DEMOCRATIC PEOPLE''S REPUBLIC OF'; 'Korea;850
113; 'KOREA; REPUBLIC OF'; 'Korea;82
114; 'KUWAIT'; 'Kuwait'; 'KWT';
115; 'KYRGYZSTAN'; 'Kyrgyzstan'; 'KGZ';
116; 'LAO PEOPLE''S DEMOCRATIC REPUBLIC'; 'Lao People''s Democratic Republic'; 'LAO';
117; 'LATVIA'; 'Latvia'; 'LVA';
118; 'LEBANON'; 'Lebanon'; 'LBN';
119; 'LESOTHO'; 'Lesotho'; 'LSO';
120; 'LIBERIA'; 'Liberia'; 'LBR';
121; 'LIBYAN ARAB JAMAHIRIYA'; 'Libyan Arab Jamahiriya'; 'LBY';
122; 'LIECHTENSTEIN'; 'Liechtenstein'; 'LIE';
123; 'LITHUANIA'; 'Lithuania'; 'LTU';
124; 'LUXEMBOURG'; 'Luxembourg'; 'LUX';
125; 'MACAO'; 'Macao'; 'MAC';
126; 'MACEDONIA; THE FORMER YUGOSLAV REPUBLIC OF'; 'Macedonia;389
127; 'MADAGASCAR'; 'Madagascar'; 'MDG';
128; 'MALAWI'; 'Malawi'; 'MWI';
129; 'MALAYSIA'; 'Malaysia'; 'MYS';
130; 'MALDIVES'; 'Maldives'; 'MDV';
131; 'MALI'; 'Mali'; 'MLI';
132; 'MALTA'; 'Malta'; 'MLT';
133; 'MARSHALL ISLANDS'; 'Marshall Islands'; 'MHL';
134; 'MARTINIQUE'; 'Martinique'; 'MTQ';
135; 'MAURITANIA'; 'Mauritania'; 'MRT';
136; 'MAURITIUS'; 'Mauritius'; 'MUS';
137; 'MAYOTTE'; 'Mayotte'; NULL;
138; 'MEXICO'; 'Mexico'; 'MEX';
139; 'MICRONESIA; FEDERATED STATES OF'; 'Micronesia;691
140; 'MOLDOVA; REPUBLIC OF'; 'Moldova;373
141; 'MONACO'; 'Monaco'; 'MCO';
142; 'MONGOLIA'; 'Mongolia'; 'MNG';
143; 'MONTSERRAT'; 'Montserrat'; 'MSR';
144; 'MOROCCO'; 'Morocco'; 'MAR';
145; 'MOZAMBIQUE'; 'Mozambique'; 'MOZ';
146; 'MYANMAR'; 'Myanmar'; 'MMR';
147; 'NAMIBIA'; 'Namibia'; 'NAM';
148; 'NAURU'; 'Nauru'; 'NRU';
149; 'NEPAL'; 'Nepal'; 'NPL';
150; 'NETHERLANDS'; 'Netherlands'; 'NLD';
151; 'NETHERLANDS ANTILLES'; 'Netherlands Antilles'; 'ANT';
152; 'NEW CALEDONIA'; 'New Caledonia'; 'NCL';
153; 'NEW ZEALAND'; 'New Zealand'; 'NZL';
154; 'NICARAGUA'; 'Nicaragua'; 'NIC';
155; 'NIGER'; 'Niger'; 'NER';
156; 'NIGERIA'; 'Nigeria'; 'NGA';
157; 'NIUE'; 'Niue'; 'NIU';
158; 'NORFOLK ISLAND'; 'Norfolk Island'; 'NFK';
159; 'NORTHERN MARIANA ISLANDS'; 'Northern Mariana Islands'; 'MNP';
160; 'NORWAY'; 'Norway'; 'NOR';
161; 'OMAN'; 'Oman'; 'OMN';
162; 'PAKISTAN'; 'Pakistan'; 'PAK';
163; 'PALAU'; 'Palau'; 'PLW';
164; 'PALESTINIAN TERRITORY; OCCUPIED'; 'Palestinian Territory;970
165; 'PANAMA'; 'Panama'; 'PAN';
166; 'PAPUA NEW GUINEA'; 'Papua New Guinea'; 'PNG';
167; 'PARAGUAY'; 'Paraguay'; 'PRY';
168; 'PERU'; 'Peru'; 'PER';
169; 'PHILIPPINES'; 'Philippines'; 'PHL';
170; 'PITCAIRN'; 'Pitcairn'; 'PCN';
171; 'POLAND'; 'Poland'; 'POL';
172; 'PORTUGAL'; 'Portugal'; 'PRT';
173; 'PUERTO RICO'; 'Puerto Rico'; 'PRI';
174; 'QATAR'; 'Qatar'; 'QAT';
175; 'REUNION'; 'Reunion'; 'REU';
176; 'ROMANIA'; 'Romania'; 'ROM';
177; 'RUSSIAN FEDERATION'; 'Russian Federation'; 'RUS';
178; 'RWANDA'; 'Rwanda'; 'RWA';
179; 'SAINT HELENA'; 'Saint Helena'; 'SHN';
180; 'SAINT KITTS AND NEVIS'; 'Saint Kitts and Nevis'; 'KNA';
181; 'SAINT LUCIA'; 'Saint Lucia'; 'LCA';
182; 'SAINT PIERRE AND MIQUELON'; 'Saint Pierre and Miquelon'; 'SPM';
183; 'SAINT VINCENT AND THE GRENADINES'; 'Saint Vincent and the Grenadines'; 'VCT';
184; 'SAMOA'; 'Samoa'; 'WSM';
185; 'SAN MARINO'; 'San Marino'; 'SMR';
186; 'SAO TOME AND PRINCIPE'; 'Sao Tome and Principe'; 'STP';
187; 'SAUDI ARABIA'; 'Saudi Arabia'; 'SAU';
188; 'SENEGAL'; 'Senegal'; 'SEN';
189; 'SERBIA AND MONTENEGRO'; 'Serbia and Montenegro'; NULL;
190; 'SEYCHELLES'; 'Seychelles'; 'SYC';
191; 'SIERRA LEONE'; 'Sierra Leone'; 'SLE';
192; 'SINGAPORE'; 'Singapore'; 'SGP';
193; 'SLOVAKIA'; 'Slovakia'; 'SVK';
194; 'SLOVENIA'; 'Slovenia'; 'SVN';
195; 'SOLOMON ISLANDS'; 'Solomon Islands'; 'SLB';
196; 'SOMALIA'; 'Somalia'; 'SOM';
197; 'SOUTH AFRICA'; 'South Africa'; 'ZAF';
198; 'SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS'; 'South Georgia and the South Sandwich Islands'; NULL;
199; 'SPAIN'; 'Spain'; 'ESP';
200; 'SRI LANKA'; 'Sri Lanka'; 'LKA';
201; 'SUDAN'; 'Sudan'; 'SDN';
202; 'SURINAME'; 'Suriname'; 'SUR';
203; 'SVALBARD AND JAN MAYEN'; 'Svalbard and Jan Mayen'; 'SJM';
204; 'SWAZILAND'; 'Swaziland'; 'SWZ';
205; 'SWEDEN'; 'Sweden'; 'SWE';
206; 'SWITZERLAND'; 'Switzerland'; 'CHE';
207; 'SYRIAN ARAB REPUBLIC'; 'Syrian Arab Republic'; 'SYR';
208; 'TAIWAN; PROVINCE OF CHINA'; 'Taiwan;886
209; 'TAJIKISTAN'; 'Tajikistan'; 'TJK';
210; 'TANZANIA; UNITED REPUBLIC OF'; 'Tanzania;255
211; 'THAILAND'; 'Thailand'; 'THA';
212; 'TIMOR-LESTE'; 'Timor-Leste'; NULL;
213; 'TOGO'; 'Togo'; 'TGO';
214; 'TOKELAU'; 'Tokelau'; 'TKL';
215; 'TONGA'; 'Tonga'; 'TON';
216; 'TRINIDAD AND TOBAGO'; 'Trinidad and Tobago'; 'TTO';
217; 'TUNISIA'; 'Tunisia'; 'TUN';
218; 'TURKEY'; 'Turkey'; 'TUR';
219; 'TURKMENISTAN'; 'Turkmenistan'; 'TKM';
220; 'TURKS AND CAICOS ISLANDS'; 'Turks and Caicos Islands'; 'TCA';
221; 'TUVALU'; 'Tuvalu'; 'TUV';
222; 'UGANDA'; 'Uganda'; 'UGA';
223; 'UKRAINE'; 'Ukraine'; 'UKR';
224; 'UNITED ARAB EMIRATES'; 'United Arab Emirates'; 'ARE';
225; 'UNITED KINGDOM'; 'United Kingdom'; 'GBR';
226; 'UNITED STATES'; 'United States'; 'USA';
227; 'UNITED STATES MINOR OUTLYING ISLANDS'; 'United States Minor Outlying Islands'; NULL;
228; 'URUGUAY'; 'Uruguay'; 'URY';
229; 'UZBEKISTAN'; 'Uzbekistan'; 'UZB';
230; 'VANUATU'; 'Vanuatu'; 'VUT';
231; 'VENEZUELA'; 'Venezuela'; 'VEN';
232; 'VIET NAM'; 'Viet Nam'; 'VNM';
233; 'VIRGIN ISLANDS; BRITISH'; 'Virgin Islands;1284
234; 'VIRGIN ISLANDS; U.S.'; 'Virgin Islands;1340
235; 'WALLIS AND FUTUNA'; 'Wallis and Futuna'; 'WLF';
236; 'WESTERN SAHARA'; 'Western Sahara'; 'ESH';
237; 'YEMEN'; 'Yemen'; 'YEM';
238; 'ZAMBIA'; 'Zambia'; 'ZMB';
239; 'ZIMBABWE'; 'Zimbabwe'; 'ZWE';
